,Date,High,Low,Open,Close,Volume,Adj Close,%Gain or %Loss
1315,2020-03-25,108.3000030517578,99.79000091552734,103.43000030517578,105.29000091552734,1121700,105.29000091552734,-2.5119285892825243
1316,2020-03-26,115.3499984741211,104.0199966430664,105.18000030517578,114.0500030517578,1043700,114.0500030517578,-8.319880387557864
1317,2020-03-27,113.91000366210938,105.5999984741211,109.94000244140624,110.8000030517578,926400,110.8000030517578,2.8496272801720974
1318,2020-03-30,113.0999984741211,107.62999725341795,111.70999908447266,109.80999755859376,782000,109.80999755859376,0.8935067381736214
1319,2020-03-31,111.4800033569336,106.16999816894531,109.31999969482422,106.62999725341795,692700,106.62999725341795,2.895911461503299
1320,2020-04-01,104.75,101.41999816894531,103.77999877929688,103.7300033569336,666000,103.7300033569336,2.7196792377216377
1321,2020-04-02,108.2699966430664,102.91000366210938,102.98999786376952,107.12000274658205,930900,107.12000274658205,-3.268099180507599
1322,2020-04-03,108.41999816894531,104.69000244140624,104.69000244140624,107.3000030517578,745500,107.3000030517578,-0.1680361282304917
1323,2020-04-06,113.91999816894531,109.0500030517578,110.5199966430664,112.69000244140624,952300,112.69000244140624,-5.023298449533583
1324,2020-04-07,119.87000274658205,115.1500015258789,115.98999786376952,116.76000213623048,1291000,116.76000213623048,-3.6116777057844733
1325,2020-04-08,121.66999816894531,117.27999877929688,118.7300033569336,120.9000015258789,648800,120.9000015258789,-3.5457342530861315
1326,2020-04-09,127.0,122.0,122.72000122070312,125.38999938964844,873100,125.38999938964844,-3.7138112548397593
1327,2020-04-13,125.23999786376952,120.25,123.83000183105469,120.6999969482422,691700,120.6999969482422,3.740332135126734
1328,2020-04-14,124.23999786376952,121.7300033569336,121.7300033569336,122.9800033569336,765600,122.9800033569336,-1.8889863018547461
1329,2020-04-15,121.81999969482422,119.94000244140624,120.37000274658205,120.41999816894531,571100,120.41999816894531,2.081643452682463
1330,2020-04-16,123.16999816894531,117.87000274658205,119.3000030517578,122.31999969482422,784800,122.31999969482422,-1.5778122859736854
